predicted_yost_label,predicted_zheng_label,p_zheng_given_yost,cooccurrence_count,threshold
CD8_act,CD8.c02.Tm.IL7R,0.2606429888559288,6502,0.1
CD8_act,CD8.c01.Tn.MAL,0.20331916940591677,5072,0.1
CD8_act,CD8.c16.MAIT.SLC4A10,0.1757796841176942,4385,0.1
CD8_act,CD8.c07.Temra.CX3CR1,0.12298564900184399,3068,0.1
CD8_act,CD8.c08.Tk.TYROBP,0.11581014992383548,2889,0.1
CD8_eff,CD8.c07.Temra.CX3CR1,0.23570402905650814,5581,0.1
CD8_eff,CD8.c01.Tn.MAL,0.18962750232283132,4490,0.1
CD8_eff,CD8.c02.Tm.IL7R,0.1104400709519385,2615,0.1
CD8_eff,CD8.c09.Tk.KIR2DL4,0.1066813075428668,2526,0.1
CD8_eff,CD8.c16.MAIT.SLC4A10,0.10097981248416252,2391,0.1
CD8_ex,CD8.c12.Tex.CXCL13,0.23948874475391072,6277,0.1
CD8_ex,CD8.c07.Temra.CX3CR1,0.1684853109500191,4416,0.1
CD8_ex,CD8.c10.Trm.ZNF683,0.16531858069439145,4333,0.1
CD8_ex,CD8.c09.Tk.KIR2DL4,0.16291491797024035,4270,0.1
CD8_ex_act,CD8.c11.Tex.PDCD1,0.20606743061535404,3111,0.1
CD8_ex_act,CD8.c12.Tex.CXCL13,0.17182221633437106,2594,0.1
CD8_ex_act,CD8.c02.Tm.IL7R,0.12512419686030338,1889,0.1
CD8_ex_act,CD8.c14.Tex.TCF7,0.12254090216599324,1850,0.1
CD8_mem,CD8.c06.Tem.GZMK,0.23918789925838901,6515,0.1
CD8_mem,CD8.c11.Tex.PDCD1,0.1594463617005654,4343,0.1
CD8_mem,CD8.c07.Temra.CX3CR1,0.1182906233937881,3222,0.1
